59c22276-a1a1-4bd4-a019-941111e88e2d,000,"",12a,Rwanda,""
2624da89-8045-42df-b0bf-81979c077a03,01,"",12b,Umujyi wa Kigali,59c22276-a1a1-4bd4-a019-941111e88e2d
29a049e2-ca22-4f0d-a147-03a1ef79c2af,0101,[30.0636349#-1.9567157],12c,Nyarugenge,2624da89-8045-42df-b0bf-81979c077a03
6f3fca9b-9800-42f8-aeb2-33fe1f212935,010101,[30.0604818#-1.9612047],12d,Gitega,29a049e2-ca22-4f0d-a147-03a1ef79c2af
5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3,01010101,[30.0513571#-1.9457687],12e,Akabahizi,6f3fca9b-9800-42f8-aeb2-33fe1f212935
8140d074-7880-4ded-927a-32bbf074474f,0101010102,"",12f,Gihanga,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
9e6f8f81-c278-4dc9-bc02-ef2ffb066025,0101010103,"",12f,Iterambere,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
89c66e64-b1ab-43be-b975-36656760d711,0101010104,"",12f,Izuba,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
c54abbca-4c27-4a66-b4da-985df38345d4,0101010105,"",12f,Nyaburanga,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
392694a9-2982-4a54-bd69-1b00dec383d7,0101010106,"",12f,Nyenyeri,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
c37554ea-344d-477e-9acd-97a97c34e46a,0101010107,"",12f,Ubukorikori,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
015bf157-a37c-4127-814d-505d736753ff,0101010108,"",12f,Ubumwe,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
1d650240-8f44-4687-ae33-5a936a7f17cf,0101010109,"",12f,Ubwiyunge,5cf0b0dc-0420-4ee3-bac2-d9d0e21baef3
